Route Name,Short Name,Route ID,Color,Full Name,Distance (m),Latitude,Longitude
Apostolic,AP,133007,#0000ff,University of Chicago,578,41.780867018,-87.592902254
South,SOUTH,8631,#dd550c,University of Chicago,579,41.785832114,-87.601090275
Downtown Campus Connector,,8591,#0e5700,University of Chicago,579,41.787874000,-87.596490000
GE Gleacher Express,GE,8605,,University of Chicago,579,41.789554993,-87.596357635
Red Line/Arts Block,RED,67598,#d62728,University of Chicago,579,41.785856246,-87.603796025
Regents Express,RE,8643,#393b79,University of Chicago,579,41.785893568,-87.599060098
Midway Metra,MM,8612,#008080,University of Chicago,579,41.787742998,-87.603607271
South Loop Shuttle,SLS,8579,#ff99cc,University of Chicago,579,41.791344998,-87.598020458
Central,CEN,8579,#ff9900,University of Chicago,579,41.791344998,-87.598020458
East,EAST,8579,#54bd00,University of Chicago,579,41.791344998,-87.598020458
MED Medical Shuttle,MED,10103,,University of Chicago,579,41.796683740,-87.595753286
North,NORTH,8579,#0099cc,University of Chicago,579,41.791344998,-87.598020458
53rd Street Express,53RD,8596,#f7eb07,University of Chicago,579,41.799647710,-87.588001746
Midway Metra,MM,141882,#008080,University of Chicago,579,41.791214768,-87.586801309
Apostolic/Drexel,AP/DX,8612,#ea7948,University of Chicago,579,41.787742998,-87.603607271
Drexel,DX,8611,#ab79dc,University of Chicago,579,41.784433000,-87.604445000
Friend Center/Metra,FCM,8612,#8c4600,University of Chicago,579,41.787742998,-87.603607271
